Date,DJIA
12/31/1999,11497.12
1/3/2000,11357.51
1/4/2000,10997.93
1/5/2000,11122.65
1/6/2000,11253.26
1/7/2000,11522.56
1/10/2000,11572.2
1/11/2000,11511.08
1/12/2000,11551.1
1/13/2000,11582.43
1/14/2000,11722.98
1/18/2000,11560.72
1/19/2000,11489.36
1/20/2000,11351.3
1/21/2000,11251.71
1/24/2000,11008.17
1/25/2000,11029.89
1/26/2000,11032.99
1/27/2000,11028.02
1/28/2000,10738.87
1/31/2000,10940.53
2/1/2000,11041.05
2/2/2000,11003.2
2/3/2000,11013.44
2/4/2000,10963.8
2/7/2000,10905.79
2/8/2000,10957.6
2/9/2000,10699.16
2/10/2000,10643.63
2/11/2000,10425.21
2/14/2000,10519.84
2/15/2000,10718.09
2/16/2000,10561.41
2/17/2000,10514.57
2/18/2000,10219.52
2/22/2000,10304.84
2/23/2000,10225.73
2/24/2000,10092.63
2/25/2000,9862.12
2/28/2000,10038.65
2/29/2000,10128.31
3/1/2000,10137.93
3/2/2000,10164.92
3/3/2000,10367.2
3/6/2000,10170.5
3/7/2000,9796.03
3/8/2000,9856.53
3/9/2000,10010.73
3/10/2000,9928.82
3/13/2000,9947.13
3/14/2000,9811.24
3/15/2000,10131.41
3/16/2000,10630.6
3/17/2000,10595.23
3/20/2000,10680.24
3/21/2000,10901.34
3/22/2000,10866.7
3/23/2000,11119.86
3/24/2000,11112.72
3/27/2000,11025.85
3/28/2000,10936.11
3/29/2000,11018.72
3/30/2000,10980.25
3/31/2000,10921.92
4/3/2000,11221.93
4/4/2000,11164.84
4/5/2000,11033.92
4/6/2000,11114.27
4/7/2000,11111.48
4/10/2000,11186.56
4/11/2000,11287.08
4/12/2000,11125.13
4/13/2000,10923.55
4/14/2000,10305.77
4/17/2000,10582.51
4/18/2000,10767.42
4/19/2000,10674.96
4/20/2000,10844.05
4/24/2000,10906.1
4/25/2000,11124.82
4/26/2000,10945.5
4/27/2000,10888.1
4/28/2000,10733.91
5/1/2000,10811.78
5/2/2000,10731.12
5/3/2000,10480.13
5/4/2000,10412.49
5/5/2000,10577.86
5/8/2000,10603.63
5/9/2000,10536.75
5/10/2000,10367.78
5/11/2000,10545.97
5/12/2000,10609.37
5/15/2000,10807.78
5/16/2000,10934.57
5/17/2000,10769.74
5/18/2000,10777.28
5/19/2000,10626.85
5/22/2000,10542.55
5/23/2000,10422.27
5/24/2000,10535.35
5/25/2000,10323.92
5/26/2000,10299.24
5/30/2000,10527.13
5/31/2000,10522.33
6/1/2000,10650.2
6/2/2000,10794.76
6/5/2000,10815.3
6/6/2000,10735.57
6/7/2000,10812.96
6/8/2000,10668.72
6/9/2000,10614.06
6/12/2000,10564.21
6/13/2000,10621.84
6/14/2000,10687.95
6/15/2000,10714.82
6/16/2000,10449.3
6/19/2000,10557.84
6/20/2000,10435.16
6/21/2000,10497.74
6/22/2000,10376.12
6/23/2000,10404.75
6/26/2000,10542.99
6/27/2000,10504.46
6/28/2000,10527.79
6/29/2000,10398.04
6/30/2000,10447.89
7/3/2000,10560.67
7/5/2000,10483.6
7/6/2000,10481.47
7/7/2000,10635.98
7/10/2000,10646.58
7/11/2000,10727.19
7/12/2000,10783.41
7/13/2000,10788.71
7/14/2000,10812.75
7/17/2000,10804.27
7/18/2000,10739.92
7/19/2000,10696.08
7/20/2000,10843.87
7/21/2000,10733.56
7/24/2000,10685.12
7/25/2000,10699.97
7/26/2000,10516.48
7/27/2000,10586.13
7/28/2000,10511.17
7/31/2000,10521.98
8/1/2000,10606.95
8/2/2000,10687.53
8/3/2000,10706.58
8/4/2000,10767.75
8/7/2000,10867.01
8/8/2000,10976.89
8/9/2000,10905.83
8/10/2000,10908.76
8/11/2000,11027.8
8/14/2000,11176.14
8/15/2000,11067
8/16/2000,11008.39
8/17/2000,11055.64
8/18/2000,11046.48
8/21/2000,11079.81
8/22/2000,11139.15
8/23/2000,11144.65
8/24/2000,11182.74
8/25/2000,11192.63
8/28/2000,11252.84
8/29/2000,11215.1
8/30/2000,11103.01
8/31/2000,11215.1
9/1/2000,11238.78
9/5/2000,11260.61
9/6/2000,11310.64
9/7/2000,11259.87
9/8/2000,11220.65
9/11/2000,11195.49
9/12/2000,11233.23
9/13/2000,11182.18
9/14/2000,11087.47
9/15/2000,10927.06
9/18/2000,10808.52
9/19/2000,10789.29
9/20/2000,10687.92
9/21/2000,10765.52
9/22/2000,10847.37
9/25/2000,10808.15
9/26/2000,10631.32
9/27/2000,10628.36
9/28/2000,10824.06
9/29/2000,10650.92
10/2/2000,10700.13
10/3/2000,10719.74
10/4/2000,10784.48
10/5/2000,10724.92
10/6/2000,10596.54
10/9/2000,10568.43
10/10/2000,10524.4
10/11/2000,10413.79
10/12/2000,10034.58
10/13/2000,10192.18
10/16/2000,10238.8
10/17/2000,10089.71
10/18/2000,9975.02
10/19/2000,10142.98
10/20/2000,10226.59
10/23/2000,10271.72
10/24/2000,10393.07
10/25/2000,10326.48
10/26/2000,10380.12
10/27/2000,10590.62
10/30/2000,10835.77
10/31/2000,10971.14
11/1/2000,10899.47
11/2/2000,10880.51
11/3/2000,10817.95
11/6/2000,10977.21
11/7/2000,10952.18
11/8/2000,10907.06
11/9/2000,10834.25
11/10/2000,10602.95
11/13/2000,10517.25
11/14/2000,10681.06
11/15/2000,10707.6
11/16/2000,10656.03
11/17/2000,10629.87
11/20/2000,10462.65
11/21/2000,10494.5
11/22/2000,10399.32
11/24/2000,10470.23
11/27/2000,10546.07
11/28/2000,10507.58
11/29/2000,10629.11
11/30/2000,10414.49
12/1/2000,10373.54
12/4/2000,10560.1
12/5/2000,10898.72
12/6/2000,10664.38
12/7/2000,10617.36
12/8/2000,10712.91
12/11/2000,10725.8
12/12/2000,10768.27
12/13/2000,10794.44
12/14/2000,10674.99
12/15/2000,10434.96
12/18/2000,10645.42
12/19/2000,10584.37
12/20/2000,10318.93
12/21/2000,10487.29
12/22/2000,10635.56
12/26/2000,10692.44
12/27/2000,10803.16
12/28/2000,10868.76
12/29/2000,10786.85
1/2/2001,10646.15
1/3/2001,10945.75
1/4/2001,10912.41
1/5/2001,10662.01
1/8/2001,10621.35
1/9/2001,10572.55
1/10/2001,10604.27
1/11/2001,10609.55
1/12/2001,10525.38
1/16/2001,10652.66
1/17/2001,10584.34
1/18/2001,10678.28
1/19/2001,10587.59
1/22/2001,10578.24
1/23/2001,10649.81
1/24/2001,10646.97
1/25/2001,10729.52
1/26/2001,10659.98
1/29/2001,10702.19
1/30/2001,10881.2
1/31/2001,10887.36
2/1/2001,10983.63
2/2/2001,10864.1
2/5/2001,10965.85
2/6/2001,10957.42
2/7/2001,10946.72
2/8/2001,10880.55
2/9/2001,10781.45
2/12/2001,10946.77
2/13/2001,10903.32
2/14/2001,10795.41
2/15/2001,10891.02
2/16/2001,10799.82
2/20/2001,10730.88
2/21/2001,10526.58
2/22/2001,10526.81
2/23/2001,10441.9
2/26/2001,10642.53
2/27/2001,10636.88
2/28/2001,10495.28
3/1/2001,10450.14
3/2/2001,10466.31
3/3/2001,10532.3
3/6/2001,10591.22
3/7/2001,10729.6
3/8/2001,10858.25
3/9/2001,10644.62
3/12/2001,10208.25
3/13/2001,10290.8
3/14/2001,9973.46
3/15/2001,10031.28
3/16/2001,9823.41
3/19/2001,9959.11
3/20/2001,9720.76
3/21/2001,9487
3/22/2001,9389.48
3/23/2001,9504.78
3/26/2001,9687.53
3/27/2001,9947.54
3/28/2001,9785.35
3/29/2001,9799.06
3/30/2001,9878.78
4/2/2001,9777.93
4/3/2001,9485.71
4/4/2001,9515.42
4/5/2001,9918.05
4/6/2001,9791.09
4/9/2001,9845.15
4/10/2001,10102.74
4/11/2001,10013.47
4/12/2001,10126.94
4/16/2001,10158.56
4/17/2001,10216.73
4/18/2001,10615.83
4/19/2001,10693.71
4/20/2001,10579.85
4/23/2001,10532.23
4/24/2001,10454.34
4/25/2001,10625.7
4/26/2001,10692.35
4/27/2001,10810.05
4/30/2001,10734.97
5/1/2001,10898.34
5/2/2001,10876.68
5/3/2001,10796.65
5/4/2001,10951.24
5/7/2001,10935.17
5/8/2001,10883.51
5/9/2001,10866.98
5/10/2001,10910.44
5/11/2001,10821.31
5/14/2001,10877.33
5/15/2001,10872.97
5/16/2001,11215.92
5/17/2001,11248.58
5/18/2001,11301.74
5/21/2001,11337.92
5/22/2001,11257.24
5/23/2001,11105.51
5/24/2001,11122.42
5/25/2001,11005.37
5/29/2001,11039.14
5/30/2001,10872.64
5/31/2001,10911.94
6/1/2001,10990.41
6/4/2001,11061.52
6/5/2001,11175.84
6/6/2001,11070.24
6/7/2001,11090.74
6/8/2001,10977
6/11/2001,10922.09
6/12/2001,10948.38
6/13/2001,10871.62
6/14/2001,10690.13
6/15/2001,10623.6
6/18/2001,10645.38
6/19/2001,10596.67
6/20/2001,10647.33
6/21/2001,10715.43
6/22/2001,10604.59
6/25/2001,10504.22
6/26/2001,10472.48
6/27/2001,10434.84
6/28/2001,10566.21
6/29/2001,10502.4
7/2/2001,10593.72
7/3/2001,10571.11
7/5/2001,10479.86
7/6/2001,10252.68
7/9/2001,10299.4
7/10/2001,10175.64
7/11/2001,10241.02
7/12/2001,10478.99
7/13/2001,10539.06
7/16/2001,10472.12
7/17/2001,10606.39
7/18/2001,10569.83
7/19/2001,10610
7/20/2001,10576.65
7/23/2001,10424.42
7/24/2001,10241.12
7/25/2001,10405.67
7/26/2001,10455.63
7/27/2001,10416.67
7/30/2001,10401.72
7/31/2001,10522.81
8/1/2001,10510.01
8/2/2001,10551.18
8/3/2001,10512.78
8/6/2001,10401.31
8/7/2001,10458.74
8/8/2001,10293.5
8/9/2001,10298.56
8/10/2001,10416.25
8/13/2001,10415.91
8/14/2001,10412.17
8/15/2001,10345.95
8/16/2001,10392.52
8/17/2001,10240.78
8/20/2001,10320.07
8/21/2001,10174.14
8/22/2001,10276.9
8/23/2001,10229.15
8/24/2001,10423.17
8/27/2001,10382.35
8/28/2001,10222.03
8/29/2001,10090.9
8/30/2001,9918.58
8/31/2001,9949.75
9/4/2001,9997.49
9/5/2001,10032.27
9/6/2001,9840.84
9/7/2001,9605.85
9/10/2001,9605.51
9/17/2001,8920.7
9/18/2001,8903.4
9/19/2001,8759.13
9/20/2001,8376.21
9/21/2001,8235.81
9/24/2001,8603.86
9/25/2001,8659.97
9/26/2001,8567.39
9/27/2001,8681.42
9/28/2001,8847.56
10/1/2001,8836.83
10/2/2001,8950.59
10/3/2001,9123.78
10/4/2001,9060.88
10/5/2001,9119.77
10/8/2001,9067.94
10/9/2001,9052.44
10/10/2001,9240.86
10/11/2001,9410.45
10/12/2001,9344.16
10/15/2001,9347.62
10/16/2001,9384.23
10/17/2001,9232.97
10/18/2001,9163.22
10/19/2001,9204.11
10/22/2001,9377.03
10/23/2001,9340.08
10/24/2001,9345.62
10/25/2001,9462.9
10/26/2001,9545.17
10/29/2001,9269.5
10/30/2001,9121.98
10/31/2001,9075.14
11/1/2001,9263.9
11/2/2001,9323.54
11/5/2001,9441.03
11/6/2001,9591.12
11/7/2001,9554.37
11/8/2001,9587.52
11/9/2001,9608
11/12/2001,9554.37
11/13/2001,9750.95
11/14/2001,9823.61
11/15/2001,9872.39
11/16/2001,9866.99
11/19/2001,9976.46
11/20/2001,9901.38
11/21/2001,9834.68
11/23/2001,9959.71
11/26/2001,9982.75
11/27/2001,9872.6
11/28/2001,9711.86
11/29/2001,9829.42
11/30/2001,9851.56
12/3/2001,9736.96
12/4/2001,9893.84
12/5/2001,10114.29
12/6/2001,10099.14
12/7/2001,10049.46
12/10/2001,9921.45
12/11/2001,9888.37
12/12/2001,9894.81
12/13/2001,9766.45
12/14/2001,9811.15
12/17/2001,9891.97
12/18/2001,9998.39
12/19/2001,10070.49
12/20/2001,9985.18
12/21/2001,10035.34
12/24/2001,10035.34
12/26/2001,10088.14
12/27/2001,10131.81
